s,d
http://www.wikidata.org/entity/Q20973718,2000-05-09T00:00:00Z
http://www.wikidata.org/entity/Q431397,2000-05-07T00:00:00Z
http://www.wikidata.org/entity/Q4352345,2000-05-04T00:00:00Z
http://www.wikidata.org/entity/Q18346218,2000-05-03T00:00:00Z
http://www.wikidata.org/entity/Q11483715,2000-04-14T00:00:00Z
http://www.wikidata.org/entity/Q2679217,2000-04-06T00:00:00Z
http://www.wikidata.org/entity/Q793355,2000-04-05T00:00:00Z
http://www.wikidata.org/entity/Q16240361,2000-03-22T00:00:00Z
http://www.wikidata.org/entity/Q20639316,2000-03-08T00:00:00Z
http://www.wikidata.org/entity/Q21620406,2000-03-02T00:00:00Z
http://www.wikidata.org/entity/Q6498626,2000-02-25T00:00:00Z
http://www.wikidata.org/entity/Q8062109,2000-02-21T00:00:00Z
http://www.wikidata.org/entity/Q13114075,2000-02-12T00:00:00Z
http://www.wikidata.org/entity/Q453620,2000-02-10T00:00:00Z
http://www.wikidata.org/entity/Q21181070,2000-02-08T00:00:00Z
http://www.wikidata.org/entity/Q18715222,2000-01-25T00:00:00Z
http://www.wikidata.org/entity/Q26251839,2000-01-25T00:00:00Z
http://www.wikidata.org/entity/Q6824033,2000-01-17T00:00:00Z
http://www.wikidata.org/entity/Q20973749,2000-01-13T00:00:00Z
http://www.wikidata.org/entity/Q7492278,2000-01-12T00:00:00Z
http://www.wikidata.org/entity/Q12588834,2000-01-09T00:00:00Z
http://www.wikidata.org/entity/Q18129453,1999-12-20T00:00:00Z
http://www.wikidata.org/entity/Q16238781,1999-11-30T00:00:00Z
http://www.wikidata.org/entity/Q3737823,1999-11-25T00:00:00Z
http://www.wikidata.org/entity/Q14756776,1999-11-19T00:00:00Z
http://www.wikidata.org/entity/Q23887699,1999-11-19T00:00:00Z
http://www.wikidata.org/entity/Q24007605,1999-11-14T00:00:00Z
http://www.wikidata.org/entity/Q17403524,1999-10-30T00:00:00Z
http://www.wikidata.org/entity/Q1317087,1999-10-27T00:00:00Z
http://www.wikidata.org/entity/Q5162033,1999-10-20T00:00:00Z
http://www.wikidata.org/entity/Q4144677,1999-10-14T00:00:00Z
http://www.wikidata.org/entity/Q14954443,1999-09-24T00:00:00Z
http://www.wikidata.org/entity/Q19803643,1999-09-16T00:00:00Z
http://www.wikidata.org/entity/Q22443294,1999-09-06T00:00:00Z
http://www.wikidata.org/entity/Q7350618,1999-08-17T00:00:00Z
http://www.wikidata.org/entity/Q112536,1999-07-30T00:00:00Z
http://www.wikidata.org/entity/Q17916933,1999-07-13T00:00:00Z
http://www.wikidata.org/entity/Q3336388,1999-06-21T00:00:00Z
http://www.wikidata.org/entity/Q5372157,1999-05-31T00:00:00Z
http://www.wikidata.org/entity/Q553704,1999-05-28T00:00:00Z
http://www.wikidata.org/entity/Q665882,1999-05-07T00:00:00Z
http://www.wikidata.org/entity/Q1201902,1999-04-29T00:00:00Z
http://www.wikidata.org/entity/Q4700165,1999-04-12T00:00:00Z
http://www.wikidata.org/entity/Q967656,1999-04-09T00:00:00Z
http://www.wikidata.org/entity/Q469072,1999-04-08T00:00:00Z
http://www.wikidata.org/entity/Q18119599,1999-03-22T00:00:00Z
http://www.wikidata.org/entity/Q26837633,1999-03-17T00:00:00Z
http://www.wikidata.org/entity/Q6097995,1999-03-16T00:00:00Z
http://www.wikidata.org/entity/Q15059490,1999-03-05T00:00:00Z
http://www.wikidata.org/entity/Q19844712,1999-02-28T00:00:00Z
http://www.wikidata.org/entity/Q7801211,1999-02-10T00:00:00Z
http://www.wikidata.org/entity/Q965157,1999-02-07T00:00:00Z
http://www.wikidata.org/entity/Q15440463,1999-01-25T00:00:00Z
http://www.wikidata.org/entity/Q6316798,1999-01-13T00:00:00Z
http://www.wikidata.org/entity/Q13533460,1998-12-30T00:00:00Z
http://www.wikidata.org/entity/Q329100,1998-12-29T00:00:00Z
http://www.wikidata.org/entity/Q236343,1998-12-22T00:00:00Z
http://www.wikidata.org/entity/Q4751887,1998-12-08T00:00:00Z
http://www.wikidata.org/entity/Q27048917,1998-12-07T00:00:00Z
http://www.wikidata.org/entity/Q9007787,1998-12-01T00:00:00Z
http://www.wikidata.org/entity/Q5318698,1998-11-28T00:00:00Z
http://www.wikidata.org/entity/Q4960026,1998-11-24T00:00:00Z
http://www.wikidata.org/entity/Q7246512,1998-11-16T00:00:00Z
http://www.wikidata.org/entity/Q3099305,1998-11-13T00:00:00Z
http://www.wikidata.org/entity/Q5041539,1998-11-11T00:00:00Z
http://www.wikidata.org/entity/Q21063936,1998-10-28T00:00:00Z
http://www.wikidata.org/entity/Q195691,1998-10-23T00:00:00Z
http://www.wikidata.org/entity/Q17045723,1998-10-22T00:00:00Z
http://www.wikidata.org/entity/Q20740864,1998-09-30T00:00:00Z
http://www.wikidata.org/entity/Q5071159,1998-09-24T00:00:00Z
http://www.wikidata.org/entity/Q19594152,1998-09-19T00:00:00Z
http://www.wikidata.org/entity/Q2526126,1998-08-16T00:00:00Z
