FID;Quartiere;DataCreazione;Latitudine;Longitudine;Indirizzo;Civico;Tipologia;Foto
1286;posillipo;2019-03-13T10:01:12.875Z;40.82513;14.21074;VIA PORTA POSILLIPO;63;a raso;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=45a5ebd9-cc2f-4079-9ca3-16fdd12ee726_1552471255.jpg
1287;posillipo;2019-02-27T12:05:51.406Z;40.82509;14.2191;VIA ORAZIO;18;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=b020bb8b-fca0-4aa8-9215-7ac0725dfe9d_1551269139.jpg
1288;posillipo;2019-03-13T10:00:43.084Z;40.82507;14.21081;VIA PORTA POSILLIPO;Snc;a raso;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=f1fd52b8-8da5-4b53-8506-0a422979e317_1552471232.jpg
1289;posillipo;2019-02-27T11:45:23.734Z;40.82506;14.21826;VIA ORAZIO;SNC;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=996c1507-0387-4b6f-8919-59b731b48abf_1551267902.jpg
1290;posillipo;2019-02-27T12:05:16.381Z;40.82505;14.21909;VIA ORAZIO;SNC;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=4a4b6dcc-d3d5-45c7-8983-5e2c79d0f0da_1551269101.jpg
1291;posillipo;2019-03-13T11:16:27.393Z;40.82501;14.2151;VIA NEVIO;32;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=af6d0a26-5890-435d-87b9-575256616015_1552475774.jpg
1292;posillipo;2019-02-27T12:04:27.352Z;40.82497;14.2191;VIA ORAZIO;25;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=3fdaee9d-bb7b-476a-bed5-de5679b72e3a_1551269040.jpg
1293;posillipo;2019-02-27T10:40:00.485Z;40.82493;14.21167;VIA MANZONI ALESSANDRO;116e;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=ceb1f679-1376-4237-8435-0c285509bf57_1551263987.jpg
1294;posillipo;2019-03-13T11:16:28.611Z;40.82493;14.21502;VIA NEVIO;32a;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=fa30f111-43f9-4e4b-baf7-05e5a0247e00_1552475777.jpg
1295;posillipo;2019-03-13T11:51:26.547Z;40.82487;14.21718;VIA CATULLO;8;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=15857a89-cbaa-4be4-9536-2a92df5713a0_1552477872.jpg
1296;posillipo;2019-03-13T10:55:31.625Z;40.82485;14.21412;VIA CAPECE SCIPIONE;1;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=fa698f5b-b361-4597-abe4-c0da82cdb2a6_1552474518.jpg
1297;posillipo;2019-03-13T10:55:26.981Z;40.82484;14.21404;VIA CAPECE SCIPIONE;1;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=b3b5f81c-ad9d-4a9e-8888-17cf058f33e9_1552474517.jpg
1298;posillipo;2019-03-13T11:50:38.787Z;40.82482;14.21709;VIA CATULLO;12;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=35e4d214-9ed0-4021-8783-507763a40120_1552477829.jpg
1299;posillipo;2019-02-27T11:45:45.162Z;40.82481;14.21817;VIA ORAZIO;73-71;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=b902283e-89c2-459d-be97-77037d3198a6_1551267907.jpg
1300;posillipo;2019-03-13T10:02:47.403Z;40.82481;14.21033;VIA PORTA POSILLIPO;123;a raso;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=e5f1e868-5a80-4961-af2b-78f39bb6feef_1552471353.jpg
1301;posillipo;2019-03-13T10:02:35.010Z;40.82476;14.21037;VIA PORTA POSILLIPO;123a;a raso;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=2a395cc5-283a-4c37-948f-b51a6e6a6775_1552471345.jpg
1302;posillipo;2019-03-13T11:50:03.878Z;40.82474;14.21702;VIA CATULLO;14;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=b31ae806-3c26-4972-a4ab-d3050e8c1cae_1552477795.jpg
1303;posillipo;2019-02-27T10:51:40.564Z;40.82472;14.21245;VIA ORAZIO;140A;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=a352ac16-e793-412b-b6ed-b66b7bea7f60_1551264681.jpg
1304;posillipo;2019-02-27T12:02:50.843Z;40.82469;14.21929;VIA ORAZIO;22;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=cb422e6b-8b54-45bc-913d-8d871c19c7f9_1551268950.jpg
1305;posillipo;2019-03-13T10:54:36.979Z;40.82467;14.21376;VIA CAPECE SCIPIONE;Snc;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=8b18106a-4b44-4f8f-a9d5-b9b9ccda5d6f_1552474465.jpg
1306;posillipo;2019-03-13T10:04:33.499Z;40.8246;14.2102;VIA PORTA POSILLIPO;Snc;a raso;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=ead9ad8d-702b-491d-b27c-0ec22e396095_1552471464.jpg
1307;posillipo;2019-02-27T10:41:40.663Z;40.8246;14.21137;VIA MANZONI ALESSANDRO;120/A;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=f0054243-4e93-4d17-9cf5-fac9d3de749f_1551264081.jpg
1308;posillipo;2019-03-13T11:51:03.537Z;40.8246;14.21666;VIA CATULLO;Snc;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=cd36aa45-de7c-43d7-96e1-2512bd112901_1552477842.jpg
1309;posillipo;2019-03-13T10:05:40.091Z;40.82453;14.20999;VIA PORTA POSILLIPO;126b;a raso;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=9ba31cf7-51c8-4447-a1ef-076d3643a032_1552471513.jpg
1310;posillipo;2019-03-13T11:48:05.453Z;40.82451;14.21598;VIA CATULLO;26;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=31204094-acf5-4404-852d-b25c508c0c08_1552477670.jpg
1311;posillipo;2019-03-13T10:53:13.978Z;40.82451;14.21322;VIA CAPECE SCIPIONE;Snc;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=1dda9682-32dc-44f8-9b2e-ef84c1bb387f_1552474380.jpg
1312;posillipo;2019-02-27T10:50:56.907Z;40.8245;14.21205;VIA ORAZIO;148;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=f607758f-93e6-4e00-a706-d62f7af52e55_1551264642.jpg
1313;posillipo;2019-03-13T11:18:39.002Z;40.82448;14.21444;VIA NEVIO;Snc;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=26c20a1e-368c-4749-b052-cc4da4ec2d05_1552475907.jpg
1314;posillipo;2019-03-13T10:07:31.214Z;40.82447;14.20995;VIA PORTA POSILLIPO;126d;a raso;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=0f09ff04-d82a-418b-ad06-3e9147f0cb86_1552471597.jpg
1315;posillipo;2019-03-13T10:52:15.418Z;40.82446;14.21315;VIA CAPECE SCIPIONE;4a;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=2f2e5068-6b18-4104-9da5-5c1c4bb634a5_1552474317.jpg
1316;posillipo;2019-03-13T10:07:10.151Z;40.82444;14.2097;VIA PORTA POSILLIPO;Snc;a raso;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=75d6c66b-4894-426a-b9fc-9b405d6bf91d_1552471606.jpg
1317;posillipo;2019-03-13T11:18:43.322Z;40.82443;14.21453;VIA NEVIO;44;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=f5e63a1f-f2be-4344-b2c9-8adb518cec1e_1552475909.jpg
1318;posillipo;2019-02-27T12:01:49.143Z;40.82442;14.21928;VIA ORAZIO;24;a raso;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=37268c3d-f81a-423a-ad36-5bed0aa894f9_1551268895.jpg
1319;posillipo;2019-03-13T11:48:06.408Z;40.8244;14.21593;VIA CATULLO;28;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=cd800562-e97d-49b1-b954-97025ef60e84_1552477665.jpg
1320;posillipo;2019-02-27T10:42:43.756Z;40.82438;14.21117;VIA MANZONI ALESSANDRO;120b;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=a35d18bb-2ea6-4b37-8507-84bf150d166b_1551264138.jpg
1321;posillipo;2019-02-27T10:42:34.208Z;40.82437;14.21109;VIA MANZONI ALESSANDRO;120D;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=62f6339f-49e8-40d3-a929-874001f09e1c_1551264143.jpg
1322;posillipo;2019-03-13T11:20:23.797Z;40.82436;14.21442;VIA NEVIO;46;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=1ee91602-0b7b-4a42-a9da-b93340be5bfd_1552475973.jpg
1323;posillipo;2019-03-13T11:46:28.410Z;40.82436;14.21537;VIA CATULLO;32;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=2337d4c6-903c-4b8f-9697-242e6d096593_1552477576.jpg
1324;posillipo;2019-03-13T10:49:13.716Z;40.82435;14.21241;VIA CAPECE SCIPIONE;16;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=902e051f-eecb-4bf7-be9c-9c4bd3aefd03_1552474141.jpg
1325;posillipo;2019-03-13T11:45:56.519Z;40.82433;14.21531;VIA CATULLO;Snc;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=479372ed-c276-49a9-9e8b-5efa65dc90d3_1552477548.jpg
1326;posillipo;2019-03-13T10:08:38.301Z;40.82433;14.2099;VIA PORTA POSILLIPO;59;a raso;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=ceca5eb7-4821-4211-a883-ee241a86254d_1552471688.jpg
1327;posillipo;2019-03-13T11:19:14.426Z;40.82433;14.21438;VIA NEVIO;48;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=ede209f2-9509-499a-8f80-5bacda903349_1552475945.jpg
1328;posillipo;2019-03-13T11:19:53.496Z;40.82428;14.21433;VIA NEVIO;50;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=cdfcf294-5a2b-4330-b811-745f93f0dec3_1552475984.jpg
1329;posillipo;2019-02-27T11:52:24.014Z;40.82427;14.21745;VIA ORAZIO;SNC;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=40f87bce-63dd-475a-ae0f-c8a145640f48_1551268323.jpg
1330;posillipo;2019-02-27T11:51:34.221Z;40.82425;14.2174;VIA ORAZIO;SNC;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=2edbd957-28c4-4866-b8e6-a672f8a61e2c_1551268282.jpg
1331;posillipo;2019-02-27T11:53:47.913Z;40.8242;14.21718;VIA ORAZIO;29;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=f4f76643-e43d-40b6-9605-6f46e7befab3_1551268414.jpg
1332;posillipo;2019-03-13T10:09:09.581Z;40.82419;14.2099;VIA PORTA POSILLIPO;52;a raso;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=aa0f4a6a-57aa-419a-b914-cc8a272d349d_1552471718.jpg
1333;posillipo;2019-03-13T10:50:00.937Z;40.82418;14.21288;VIA CAPECE SCIPIONE;10;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=85005976-11a3-4fe3-9f17-e2e203fb5014_1552474191.jpg
1334;posillipo;2019-02-27T11:53:22.185Z;40.82411;14.21736;VIA ORAZIO;Snc;a raso;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=7dc34fec-4597-4574-a694-96daa581083a_1551268354.jpg
1335;posillipo;2019-03-13T10:51:24.765Z;40.8241;14.21301;VIA CAPECE SCIPIONE;8;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=d078feb4-389a-41a2-a58e-01f5d9c04712_1552474273.jpg
1336;posillipo;2019-03-13T11:22:53.966Z;40.8241;14.21427;VIA CATULLO;58;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=8e5b3f72-5e35-407d-8a9d-0dd1ee5583ca_1552476163.jpg
1337;posillipo;2019-03-13T11:44:40.274Z;40.82408;14.21514;VIA CATULLO;40;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=88a3ec8c-f356-45b9-aa3b-f456b1e2f7a1_1552477472.jpg
1338;posillipo;2019-03-13T11:23:28.503Z;40.82408;14.21425;VIA NEVIO;Snc;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=a6c122ce-8feb-4f56-b260-865a55052ab3_1552476178.jpg
1339;posillipo;2019-02-27T11:52:06.180Z;40.82407;14.21743;VIA ORAZIO;39;a raso;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=4e72f9f5-eee6-4549-9c21-c5afcb997912_1551268297.jpg
1340;posillipo;2019-03-13T11:45:49.836Z;40.82406;14.215;VIA CATULLO;38;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=bae43db1-4895-4522-bded-8f6b215bbc9f_1552477523.jpg
1341;posillipo;2019-02-27T11:51:08.012Z;40.82405;14.21746;VIA ORAZIO;31;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=73d24183-e710-413d-9aaa-58ed65441a6b_1551268182.jpg
1342;posillipo;2019-02-27T11:49:10.914Z;40.82404;14.21791;VIA ORAZIO;42bis;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=b61bc5af-da13-422c-9598-f92f52cadf72_1551268120.jpg
1343;posillipo;2019-03-13T10:49:26.299Z;40.82404;14.21288;VIA CAPECE SCIPIONE;Snc;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=b87d5507-c99e-491d-9e91-50fa4f356ed4_1552474154.jpg
1344;posillipo;2019-02-27T11:58:43.649Z;40.82401;14.21847;VIA ORAZIO;38;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=c97999a8-96e1-465a-9b68-554c4ed4ce69_1551268704.jpg
1345;posillipo;2019-03-13T10:10:05.339Z;40.82401;14.21018;VIA GENTILE GIOVANNI;4;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=ee22e31e-c578-4546-ae38-189b50dc9cb0_1552471791.jpg
1346;posillipo;2019-03-13T10:11:01.977Z;40.824;14.21026;VIA GENTILE GIOVANNI;Snc;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=c3eb2ae7-a8e1-43da-be5f-963e01cf1d63_1552471849.jpg
1347;posillipo;2019-02-27T11:56:47.743Z;40.82399;14.21784;VIA ORAZIO;42;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=92a14783-aca8-4f67-803f-6333192f89b9_1551268577.jpg
1348;posillipo;2019-02-27T11:58:36.113Z;40.82399;14.21838;VIA ORAZIO;SNC;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=986a6c62-5f47-4886-9df7-8ee8639acc74_1551268702.jpg
1349;posillipo;2019-03-13T10:11:27.223Z;40.82399;14.2104;VIA GENTILE GIOVANNI;Snc;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=84ea8ee5-3024-4869-b85f-8f9c792b9444_1552471852.jpg
1350;posillipo;2019-02-27T11:50:23.713Z;40.82397;14.21742;VIA ORAZIO;SNC;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=d274f4ae-c5b9-4633-ab6c-9c65e453f38c_1551268200.jpg
1351;posillipo;2019-03-13T10:48:22.736Z;40.82396;14.21193;VIA CAPECE SCIPIONE;14b;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=b9bc2b7d-e374-4e32-a1d6-dfccf02a48b3_1552474082.jpg
1352;posillipo;2019-03-13T10:48:46.026Z;40.82392;14.21279;VIA CAPECE SCIPIONE;10a;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=bca39fa1-94c3-45e1-b09f-f04a00cdb0b0_1552474114.jpg
1353;posillipo;2019-02-27T11:56:48.484Z;40.82392;14.2177;VIA ORAZIO;42;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=ec6115ca-8da4-49e1-8751-ede2f819d5c8_1551268578.jpg
1354;posillipo;2019-03-13T10:11:58.114Z;40.82387;14.21039;VIA GENTILE GIOVANNI;Snc;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=5ce161a6-bb3f-4771-98e7-36e5f6d03370_1552471898.jpg
1355;posillipo;2019-03-11T11:10:23.349Z;40.82387;14.21644;VIA PETRARCA FRANCESCO;209;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=f07bf495-4ec2-47b8-b79f-4694ba29c48e_1552302609.jpg
1356;posillipo;2019-03-11T11:09:42.637Z;40.82383;14.21606;VIA PETRARCA FRANCESCO;205;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=3da4a7e1-1faf-42e1-acd6-d1f4309ef9c7_1552302503.jpg
1357;posillipo;2019-03-11T11:09:49.865Z;40.82382;14.21615;VIA PETRARCA FRANCESCO;80;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=8af329a8-905d-4ce1-83cf-1e4e5abbe036_1552302567.jpg
1358;posillipo;2019-03-13T10:47:30.356Z;40.82378;14.21167;VIA CAPECE SCIPIONE;Snc;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=14eb002a-813f-434e-88cf-d5cd489f5efa_1552474017.jpg
1359;posillipo;2019-03-13T11:25:49.556Z;40.82377;14.21412;VIA NEVIO;19;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=29dd4205-051e-4d51-b017-c44f9538e280_1552476284.jpg
1360;posillipo;2019-03-13T10:47:42.234Z;40.82374;14.21267;VIA CAPECE SCIPIONE;3a;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=c99fae05-e787-466a-9bc9-e1e0cfdd78a0_1552474038.jpg
1361;posillipo;2019-03-13T10:14:25.209Z;40.82373;14.20985;VIA PORTA POSILLIPO;50a;a raso;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=95e75826-75c8-42bb-a85a-4d8e4834573a_1552472045.jpg
1362;posillipo;2019-03-13T10:46:07.887Z;40.82372;14.21173;VIA CAPECE SCIPIONE;Snc;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=ef61cc3b-3942-4ab1-a5b2-f84b6794083b_1552473941.jpg
1363;posillipo;2019-03-13T10:14:05.983Z;40.82371;14.20975;VIA PORTA POSILLIPO;132;a raso;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=3534ee46-fd23-4ed9-aaba-96017a6bd49a_1552472033.jpg
1364;posillipo;2019-02-27T10:43:52.031Z;40.8237;14.21063;VIA MANZONI ALESSANDRO;126;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=cb5dde49-bb80-409c-80f1-9487f326032d_1551264208.jpg
1365;posillipo;2019-03-13T10:14:54.042Z;40.82365;14.20966;VIA PORTA POSILLIPO;133;a raso;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=0100ddd6-f4c6-443d-9cae-201f24f25dd9_1552472082.jpg
1366;posillipo;2019-03-13T11:26:32.516Z;40.82365;14.21396;VIA CATULLO;Snc;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=7255786b-6ef9-424f-a81e-0729ccce5647_1552476378.jpg
1367;posillipo;2019-02-27T10:45:46.888Z;40.82363;14.21056;VIA MANZONI ALESSANDRO;S.N.C;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=6498436a-ec74-4f48-b271-639db209b35f_1551264303.jpg
1368;posillipo;2019-03-13T10:44:58.157Z;40.82363;14.21197;VIA CAPECE SCIPIONE;14bis;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=bd7f8c8d-557b-4b00-8f4f-61b8aa247bad_1552473859.jpg
1369;posillipo;2019-03-01T12:03:23.742Z;40.82357;14.21851;LARGO SERMONETA;1BIS;a raso;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=e2fe0d3b-af30-4328-a433-3a71ffbdcf83_1551441784.jpg
1370;posillipo;2019-03-01T12:02:18.090Z;40.82353;14.21829;LARGO SERMONETA;SNC;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=9aaab830-5cb8-4d6b-80dc-89784d542537_1551441693.jpg
1371;posillipo;2019-03-13T10:46:08.665Z;40.82351;14.21264;VIA CAPECE SCIPIONE;3b;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=c1415ba2-8036-421c-943e-95d095ba666f_1552473956.jpg
1372;posillipo;2019-03-01T12:05:00.326Z;40.8235;14.21852;LARGO SERMONETA;SNC;a raso;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=c8646b0a-fbb7-4273-b76a-1ad41be3ecef_1551441827.jpg
1373;posillipo;2019-02-27T10:51:49.664Z;40.82342;14.21141;VIA ORAZIO;Snc;a raso;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=c89d3980-e368-487a-a857-ec361c90e0d3_1551264694.jpg
1374;posillipo;2019-02-27T10:52:43.576Z;40.82342;14.21137;VIA ORAZIO;161A;a raso;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=c87bb6c0-8987-4367-941c-788ce398ffad_1551264741.jpg
1375;posillipo;2019-03-13T11:27:55.465Z;40.82338;14.21334;VIA NEVIO;70;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=b1db4c00-0cf3-4d34-ad05-f268095ec096_1552476461.jpg
1376;posillipo;2019-03-01T12:00:56.923Z;40.82338;14.21813;LARGO SERMONETA;2B;a raso;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=5850bc1f-985e-4718-bfba-26c5cbce6857_1551441452.jpg
1377;posillipo;2019-03-13T10:45:22.630Z;40.82336;14.21244;VIA CAPECE SCIPIONE;Snc;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=22e7da24-3e3f-4cfe-a3d5-0817d5980e18_1552473911.jpg
1378;posillipo;2019-02-27T10:50:39.318Z;40.82333;14.21149;VIA ORAZIO;Snc;a raso;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=f472c52b-930a-4fbc-a5fe-f4637e39d075_1551264581.jpg
1379;posillipo;2019-03-13T11:27:52.666Z;40.82332;14.21326;VIA CATULLO;68;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=743a82e6-b8ba-400f-8ae9-74599f4bba91_1552476460.jpg
1380;posillipo;2019-03-13T11:28:48.825Z;40.82326;14.21308;VIA CATULLO;72;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=35aa4fa3-e112-41c2-a79f-415b1e8dbc2a_1552476519.jpg
1381;posillipo;2019-03-01T11:57:39.840Z;40.82324;14.21778;LARGO SERMONETA;16;a raso;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=8e51a92f-10ea-4f4a-b6d1-4f20222f282c_1551441443.jpg
1382;posillipo;2019-03-01T11:59:02.416Z;40.82322;14.21753;LARGO SERMONETA;14;a raso;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=6557b034-aa2b-4647-adf7-4d764cb94044_1551441524.jpg
1383;posillipo;2019-03-13T10:16:17.390Z;40.82321;14.20935;VIA PORTA POSILLIPO;135ter;a raso;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=ad6b14f4-ec3b-4fe7-8d63-650f7bc44fca_1552472161.jpg
