FID;Quartiere;DataCreazione;Latitudine;Longitudine;Indirizzo;Civico;Tipologia;Foto
649;chiaia;2019-02-14T10:31:25.168Z;40.83541;14.23447;VIA ASCENSIONE;8;a raso;https://five.epicollect.net/api/media/mun01-chiaia-catasto-passi-carrai?type=photo&format=entry_original&name=1cd71bff-a9b0-486a-9b4a-aa23b3065d66_1550140269.jpg
650;chiaia;2019-02-04T10:57:38.196Z;40.8354;14.24265;VIA DEI MILLE;138;a raso;https://five.epicollect.net/api/media/mun01-chiaia-catasto-passi-carrai?type=photo&format=entry_original&name=36821d07-e56d-42af-bc6f-4ac5eca0f7bc_1549277832.jpg
651;chiaia;2019-02-11T10:52:25.922Z;40.83539;14.22725;VIA CRISPI FRANCESCO;118;su marciapiede;https://five.epicollect.net/api/media/mun01-chiaia-catasto-passi-carrai?type=photo&format=entry_original&name=1ec3b411-be74-46cc-84be-b15065853f02_1549882299.jpg
652;chiaia;2019-02-11T11:09:03.287Z;40.83539;14.22267;VIA SCHIPA MICHELANGELO;61;su marciapiede;https://five.epicollect.net/api/media/mun01-chiaia-catasto-passi-carrai?type=photo&format=entry_original&name=b1efe3f7-fdf3-43a7-aef4-6555af015c20_1549883316.jpg
653;chiaia;2019-04-08T08:31:35.810Z;40.83538;14.22872;VIA PONTANO;Snc;su marciapiede;https://five.epicollect.net/api/media/mun01-chiaia-catasto-passi-carrai?type=photo&format=entry_original&name=d55093d1-5186-4831-942a-b69c91847b8b_1554712235.jpg
654;chiaia;2019-02-11T09:16:22.930Z;40.83538;14.23072;VIA MARTUCCI GIUSEPPE;35 H;a raso;https://five.epicollect.net/api/media/mun01-chiaia-catasto-passi-carrai?type=photo&format=entry_original&name=9c753566-ae04-402b-ba5d-f653c242fdfc_1549876569.jpg
655;chiaia;2019-02-11T11:07:42.738Z;40.83538;14.22286;VIA SCHIPA MICHELANGELO;78;su marciapiede;https://five.epicollect.net/api/media/mun01-chiaia-catasto-passi-carrai?type=photo&format=entry_original&name=71083720-23a0-442c-87c9-35083f23fa76_1549883209.jpg
656;chiaia;2019-02-11T11:05:01.708Z;40.83538;14.22362;VIA SCHIPA MICHELANGELO;62;su marciapiede;https://five.epicollect.net/api/media/mun01-chiaia-catasto-passi-carrai?type=photo&format=entry_original&name=6129e454-99fb-4027-b838-deb95d656ee8_1549883078.jpg
657;chiaia;2019-02-15T09:13:45.031Z;40.83535;14.23917;VICOLETTO BELLEDONNE;16;a raso;https://five.epicollect.net/api/media/mun01-chiaia-catasto-passi-carrai?type=photo&format=entry_original&name=fb7b5b62-348d-4663-9731-47ff50577529_1550222003.jpg
658;chiaia;2019-03-15T10:15:23.675Z;40.83535;14.22711;VIA MARICONDA ANDREA;2;su marciapiede;https://five.epicollect.net/api/media/mun01-chiaia-catasto-passi-carrai?type=photo&format=entry_original&name=8c200554-c602-4233-97a7-d78871ba2ffb_1552644872.jpg
659;chiaia;2019-02-15T09:14:13.976Z;40.83534;14.23958;VICOLETTO BELLEDONNE;9;a raso;https://five.epicollect.net/api/media/mun01-chiaia-catasto-passi-carrai?type=photo&format=entry_original&name=260f8c2c-5d10-4523-a72e-f2fbdcc38788_1550222042.jpg
660;chiaia;2019-02-14T10:39:31.210Z;40.83534;14.23469;VIA BAUSAN GIOVANNI;24B;a raso;https://five.epicollect.net/api/media/mun01-chiaia-catasto-passi-carrai?type=photo&format=entry_original&name=ec6a5b43-d358-42ea-95e2-ee3191703c3d_1550140759.jpg
661;chiaia;2019-02-11T11:00:46.766Z;40.83532;14.22457;VIA SCHIPA MICHELANGELO;SNC;su marciapiede;https://five.epicollect.net/api/media/mun01-chiaia-catasto-passi-carrai?type=photo&format=entry_original&name=b466c42b-a836-4d43-955c-7c6ec6e1e803_1549882821.jpg
662;chiaia;2019-03-15T10:13:52.854Z;40.83532;14.22705;VIA DI CAPUA BARTOLOMEO;5;su marciapiede;https://five.epicollect.net/api/media/mun01-chiaia-catasto-passi-carrai?type=photo&format=entry_original&name=e64229df-e25e-40ea-92ee-1f87c67c579e_1552644821.jpg
663;chiaia;2019-02-06T11:11:45.303Z;40.83532;14.24215;VIA FILANGIERI GAETANO;72;su marciapiede;https://five.epicollect.net/api/media/mun01-chiaia-catasto-passi-carrai?type=photo&format=entry_original&name=af9dbaca-15af-4165-80c6-d15929592c1b_1549451433.jpg
664;chiaia;2019-02-14T10:40:18.849Z;40.83531;14.23487;VIA BAUSAN GIOVANNI;33;a raso;https://five.epicollect.net/api/media/mun01-chiaia-catasto-passi-carrai?type=photo&format=entry_original&name=81e94081-8252-498c-ba36-8fac350e221d_1550140803.jpg
665;chiaia;2019-02-15T08:35:39.168Z;40.83531;14.23804;VIA IMBRIANI VITTORIO;SNC;su marciapiede;https://five.epicollect.net/api/media/mun01-chiaia-catasto-passi-carrai?type=photo&format=entry_original&name=c7422bcb-939b-4c32-9fff-fd979b2dc74b_1550219715.jpg
666;chiaia;2019-02-14T10:41:41.287Z;40.8353;14.23452;VIA BAUSAN GIOVANNI;18;a raso;https://five.epicollect.net/api/media/mun01-chiaia-catasto-passi-carrai?type=photo&format=entry_original&name=a0f389bc-919b-43c2-90d5-a405ea07982c_1550140890.jpg
667;chiaia;2019-02-15T09:20:52.134Z;40.8353;14.23992;VIA DELLA CAVALLERIZZA;8;a raso;https://five.epicollect.net/api/media/mun01-chiaia-catasto-passi-carrai?type=photo&format=entry_original&name=b6087db0-7eec-443c-a9d8-85d535bc1099_1550222428.jpg
668;chiaia;2019-02-15T09:33:49.784Z;40.83528;14.24062;VIA BISIGNANO;67;su marciapiede;https://five.epicollect.net/api/media/mun01-chiaia-catasto-passi-carrai?type=photo&format=entry_original&name=a2d79508-7ba3-472f-890f-1d6182e2c1fb_1550223209.jpg
669;chiaia;2019-02-11T10:05:58.978Z;40.83528;14.23613;VIA S.PASQUALE;15B;a raso;https://five.epicollect.net/api/media/mun01-chiaia-catasto-passi-carrai?type=photo&format=entry_original&name=0f8f1c48-90ac-4078-9244-965a6172f9c1_1549879540.jpg
670;chiaia;2019-02-11T11:11:35.650Z;40.83528;14.22132;VIA SCHIPA MICHELANGELO;134;su marciapiede;https://five.epicollect.net/api/media/mun01-chiaia-catasto-passi-carrai?type=photo&format=entry_original&name=126b3a1b-aabf-4ef6-a16c-3fa3bbe63dcd_1549883475.jpg
671;chiaia;2019-02-11T11:08:20.064Z;40.83527;14.22277;VIA SCHIPA MICHELANGELO;94;su marciapiede;https://five.epicollect.net/api/media/mun01-chiaia-catasto-passi-carrai?type=photo&format=entry_original&name=1d0a2321-aa93-49a5-ada5-da823b585458_1549883287.jpg
672;chiaia;2019-02-11T11:13:30.185Z;40.83526;14.22104;VIA SCHIPA MICHELANGELO;Snc;su marciapiede;https://five.epicollect.net/api/media/mun01-chiaia-catasto-passi-carrai?type=photo&format=entry_original&name=01d5a588-4972-4c82-a1ee-358415177300_1549883577.jpg
673;chiaia;2019-02-18T09:16:05.545Z;40.83526;14.23754;VIA LOMONACO FRANCESCO;3;su marciapiede;https://five.epicollect.net/api/media/mun01-chiaia-catasto-passi-carrai?type=photo&format=entry_original&name=b6b7642c-b210-4ef0-8f0b-754d8b6d42bb_1550481345.jpg
674;chiaia;2019-02-14T10:41:29.855Z;40.83526;14.23465;VIA BAUSAN GIOVANNI;36;a raso;https://five.epicollect.net/api/media/mun01-chiaia-catasto-passi-carrai?type=photo&format=entry_original&name=1812dea6-ff7e-468c-a40b-3990da4bf3a7_1550140847.jpg
675;chiaia;2019-02-11T11:10:39.335Z;40.83525;14.22224;VIA SCHIPA MICHELANGELO;SNC;su marciapiede;https://five.epicollect.net/api/media/mun01-chiaia-catasto-passi-carrai?type=photo&format=entry_original&name=2f73387f-5903-4547-a3b5-95c6ef112270_1549883417.jpg
676;chiaia;2019-03-15T10:17:19.402Z;40.83524;14.22636;VIA DI CAPUA BARTOLOMEO;3;su marciapiede;https://five.epicollect.net/api/media/mun01-chiaia-catasto-passi-carrai?type=photo&format=entry_original&name=5bf41879-7dd3-4e5c-a16c-344d316bfc71_1552645023.jpg
677;chiaia;2019-02-14T10:42:41.521Z;40.83521;14.23463;VIA BAUSAN GIOVANNI;17;a raso;https://five.epicollect.net/api/media/mun01-chiaia-catasto-passi-carrai?type=photo&format=entry_original&name=67730072-7526-4479-bf1d-6930cf0ed04c_1550140950.jpg
678;chiaia;2019-02-05T10:53:17.770Z;40.8352;14.21964;CORSO VITTORIO EMANUELE;667;su marciapiede;https://five.epicollect.net/api/media/mun01-chiaia-catasto-passi-carrai?type=photo&format=entry_original&name=6f569265-7741-429f-84f4-9fe95b1954c2_1549363945.jpg
679;chiaia;2019-02-11T09:31:27.809Z;40.83518;14.23122;VIA MARTUCCI GIUSEPPE;10;a raso;https://five.epicollect.net/api/media/mun01-chiaia-catasto-passi-carrai?type=photo&format=entry_original&name=5be19cda-f053-4875-80bb-fb7b520a317e_1549877462.jpg
680;chiaia;2019-04-09T08:42:10.791Z;40.83517;14.21022;CUPA TORRE CERVATI;11;a raso;https://five.epicollect.net/api/media/mun01-chiaia-catasto-passi-carrai?type=photo&format=entry_original&name=082dda92-567e-46ae-81bd-48d3e281f280_1554799313.jpg
681;chiaia;2019-02-11T09:22:16.062Z;40.83516;14.2297;VIA CAMPIGLIONE;17;su marciapiede;https://five.epicollect.net/api/media/mun01-chiaia-catasto-passi-carrai?type=photo&format=entry_original&name=c4e1ca2f-1f36-4111-ab64-5514c6610574_1549876922.jpg
682;chiaia;2019-04-09T08:40:52.714Z;40.83515;14.21039;VIA TORRE CERVATI;SNC;su marciapiede;https://five.epicollect.net/api/media/mun01-chiaia-catasto-passi-carrai?type=photo&format=entry_original&name=f44b452c-c065-45c6-8745-4b50832a32b7_1554799201.jpg
683;chiaia;2019-02-15T08:29:48.313Z;40.83515;14.23985;VICO BELLEDONNE A CHIAIA;6;a raso;https://five.epicollect.net/api/media/mun01-chiaia-catasto-passi-carrai?type=photo&format=entry_original&name=3e5a0609-e0a9-49ef-8443-13cb496e5020_1550219374.jpg
684;chiaia;2019-02-11T09:19:54.248Z;40.83515;14.23006;VIA MARTUCCI GIUSEPPE;SNC;su marciapiede;https://five.epicollect.net/api/media/mun01-chiaia-catasto-passi-carrai?type=photo&format=entry_original&name=285c8891-7b47-4697-a835-c58a8187cfcc_1549876782.jpg
685;chiaia;2019-03-15T10:18:30.619Z;40.83514;14.22623;VIA DI CAPUA BARTOLOMEO;1;su marciapiede;https://five.epicollect.net/api/media/mun01-chiaia-catasto-passi-carrai?type=photo&format=entry_original&name=0d66fb90-e6ca-44c9-a51c-9eb6b33f2d2f_1552645090.jpg
686;chiaia;2019-03-15T10:25:39.614Z;40.83514;14.2236;VICO S.MARIA DELLA NEVE;45/D;a raso;https://five.epicollect.net/api/media/mun01-chiaia-catasto-passi-carrai?type=photo&format=entry_original&name=3a6e0f0c-1548-4f8c-9c60-2f2f5b601d28_1552645526.jpg
687;chiaia;2019-02-14T10:15:18.560Z;40.83514;14.23216;VIA DEL RIONE SIRIGNANO;11;su marciapiede;https://five.epicollect.net/api/media/mun01-chiaia-catasto-passi-carrai?type=photo&format=entry_original&name=60ecd209-8548-4afb-ae2b-a2ece600835f_1550139300.jpg
688;chiaia;2019-02-15T08:31:42.319Z;40.83514;14.23955;VICO BELLEDONNE A CHIAIA;11;a raso;https://five.epicollect.net/api/media/mun01-chiaia-catasto-passi-carrai?type=photo&format=entry_original&name=704e403f-f9c3-4b8b-85ab-4ee4cb12b119_1550219476.jpg
689;chiaia;2019-02-11T11:10:48.417Z;40.83513;14.22195;VIA SCHIPA MICHELANGELO;116;su marciapiede;https://five.epicollect.net/api/media/mun01-chiaia-catasto-passi-carrai?type=photo&format=entry_original&name=58db671b-aad7-4ddf-850b-b00be443c74e_1549883431.jpg
